Date,Description,Amount
2026-07-01,Grocery shopping,2500
2026-07-03,Uber ride,450
2026-07-05,Electricity bill,1800
2026-07-07,Restaurant dinner,900
2026-07-10,Movie tickets,500
2026-07-12,New shirt,1200
2026-07-15,Medicines,650
2026-07-18,Bus travel,300
2026-07-20,Online food order,700
2026-07-22,Mobile recharge,400
2026-07-25,Grocery shopping,1800
2026-07-28,Gym fee,1000
2026-08-01,Grocery shopping,2200
2026-08-03,Cab fare,550
2026-08-05,Electricity bill,1900
2026-08-07,Restaurant lunch,750
2026-08-10,Concert tickets,1200
2026-08-12,Shoes shopping,2200
2026-08-15,Medicines,500
2026-08-18,Bus travel,350
2026-08-20,Food delivery,650
2026-08-22,Internet bill,800
2026-08-25,Grocery shopping,2000
2026-08-28,Gym fee,1000
