Date,Stock,Sector,Buy_Price,Sell_Price,Quantity
2026-01-02,TCS,IT,3167.88,3113.98,15
2026-01-02,Infosys,IT,1500.4,1513.51,15
2026-01-02,HCL Tech,IT,1492.48,1539.38,30
2026-01-02,Reliance,Energy,1350.32,1373.02,20
2026-01-02,ONGC,Energy,289.82,298.32,25
2026-01-02,HDFC Bank,Banking,1740.47,1793.9,5
2026-01-02,ICICI Bank,Banking,1202.38,1194.48,20
2026-01-02,SBI,Banking,791.45,792.15,30
2026-01-02,ITC,FMCG,435.26,425.0,20
2026-01-02,Hindustan Unilever,FMCG,2417.74,2489.71,15
2026-01-05,TCS,IT,3292.14,3270.9,10
2026-01-05,Infosys,IT,1605.66,1665.76,20
2026-01-05,HCL Tech,IT,1457.34,1458.03,10
2026-01-05,Reliance,Energy,1420.63,1424.04,20
2026-01-05,ONGC,Energy,271.53,269.74,30
2026-01-05,HDFC Bank,Banking,1734.75,1739.78,10
2026-01-05,ICICI Bank,Banking,1215.6,1223.82,10
2026-01-05,SBI,Banking,804.33,778.37,25
2026-01-05,ITC,FMCG,466.91,470.15,30
2026-01-05,Hindustan Unilever,FMCG,2341.63,2385.82,5
2026-01-06,TCS,IT,3318.06,3356.28,25
2026-01-06,Infosys,IT,1560.76,1583.96,5
2026-01-06,HCL Tech,IT,1424.59,1399.87,25
2026-01-06,Reliance,Energy,1352.35,1359.68,5
2026-01-06,ONGC,Energy,286.1,289.96,15
2026-01-06,HDFC Bank,Banking,1790.62,1824.61,15
2026-01-06,ICICI Bank,Banking,1159.11,1145.08,5
2026-01-06,SBI,Banking,807.89,805.82,10
2026-01-06,ITC,FMCG,435.43,448.25,25
2026-01-06,Hindustan Unilever,FMCG,2444.08,2401.97,30
2026-01-07,TCS,IT,3299.13,3247.4,30
2026-01-07,Infosys,IT,1593.27,1595.88,25
2026-01-07,HCL Tech,IT,1457.11,1460.54,5
2026-01-07,Reliance,Energy,1423.59,1467.95,10
2026-01-07,ONGC,Energy,269.37,263.3,20
