Transaction_ID,Date,Account_ID,Category,Amount,Payment_Method,Status
TXN0134,2026-08-01,ACC1019,Food,23522.91,Net Banking,Completed
TXN0027,2026-08-01,ACC1004,Food,43948.22,Bank Transfer,Completed
TXN0053,2026-08-01,ACC1015,Bills,49922.88,UPI,Completed
TXN0071,2026-08-01,ACC1022,Travel,19983.45,Bank Transfer,Completed
TXN0174,2026-08-01,ACC1002,Bills,39679.21,UPI,Completed
TXN0167,2026-08-01,ACC1001,Entertainment,78896.24,Card,Completed
TXN0086,2026-08-01,ACC1002,Travel,49198.41,UPI,Pending
TXN0116,2026-08-01,ACC1014,Transfer,24561.07,Net Banking,Completed
TXN0034,2026-08-01,ACC1003,Entertainment,31592.04,Card,Completed
TXN0121,2026-08-01,ACC1016,Transfer,16318.21,Net Banking,Completed
TXN0125,2026-08-01,ACC1003,Food,11157.66,Card,Completed
TXN0076,2026-08-02,ACC1023,Electronics,184.39,Card,Completed
TXN0105,2026-08-02,ACC1009,Electronics,16434.9,Net Banking,Completed
TXN0035,2026-08-02,ACC1011,Shopping,25756.39,Bank Transfer,Pending
TXN0170,2026-08-02,ACC1002,Travel,27699.78,UPI,Completed
TXN0028,2026-08-02,ACC1008,Bills,47352.78,UPI,Pending
TXN0039,2026-08-02,ACC1013,Entertainment,17031.2,UPI,Completed
TXN0044,2026-08-02,ACC1006,Electronics,207.55,Net Banking,Completed
TXN0047,2026-08-02,ACC1002,Bills,23891.75,Card,Completed
TXN0008,2026-08-02,ACC1024,Electronics,26857.78,Net Banking,Completed
TXN0003,2026-08-02,ACC1001,Shopping,11010.03,UPI,Completed
TXN0029,2026-08-03,ACC1025,Bills,38315.14,Card,Pending
TXN0107,2026-08-03,ACC1016,Shopping,37476.31,UPI,Completed
TXN0007,2026-08-03,ACC1013,Shopping,18013.07,Bank Transfer,Completed
TXN0147,2026-08-03,ACC1002,Travel,39652.17,Bank Transfer,Pending
TXN0104,2026-08-03,ACC1021,Electronics,6871.4,Net Banking,Completed
TXN0136,2026-08-03,ACC1013,Electronics,3796.7,UPI,Completed
TXN0074,2026-08-04,ACC1020,Electronics,17349.79,Bank Transfer,Pending
