Date,City,Temperature_C,Weather,Humidity_%,Wind_Speed_kmh
2026-08-01,Delhi,34,Sunny,55,12
2026-08-02,Delhi,35,Sunny,52,10
2026-08-03,Delhi,36,Rainy,68,14
2026-08-04,Delhi,33,Cloudy,65,11
2026-08-05,Delhi,32,Rainy,72,13
2026-08-06,Delhi,37,Sunny,50,9
2026-08-07,Delhi,38,Sunny,48,8
2026-08-08,Delhi,36,Cloudy,60,12
2026-08-09,Delhi,35,Rainy,75,15
2026-08-10,Delhi,34,Sunny,54,10
2026-08-01,Mumbai,29,Rainy,82,18
2026-08-02,Mumbai,30,Cloudy,78,16
2026-08-03,Mumbai,31,Sunny,70,14
2026-08-04,Mumbai,30,Rainy,84,20
2026-08-05,Mumbai,29,Cloudy,80,17
2026-08-06,Mumbai,28,Rainy,86,19
2026-08-07,Mumbai,30,Sunny,72,13
2026-08-08,Mumbai,31,Sunny,68,12
2026-08-09,Mumbai,32,Rainy,85,21
2026-08-10,Mumbai,30,Cloudy,79,15
2026-08-01,Bangalore,26,Cloudy,72,10
2026-08-02,Bangalore,27,Rainy,76,12
2026-08-03,Bangalore,28,Sunny,65,9
2026-08-04,Bangalore,27,Cloudy,70,11
2026-08-05,Bangalore,25,Rainy,80,14
2026-08-06,Bangalore,26,Sunny,62,8
2026-08-07,Bangalore,29,Cloudy,74,13
2026-08-08,Bangalore,28,Rainy,81,15
2026-08-09,Bangalore,27,Sunny,66,10
2026-08-10,Bangalore,26,Cloudy,71,12
